Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C28, C29, C9",603,5,10u,C96446
"C10, C2, C21, C22, C23, C25, C26, C27, C3, C30, C31, C4, C5, C6, C7, C8",402,16,100n,C1525
"C11, C12",603,2,10p,C1634
"C13, C14, C15, C16",603,4,2u2,C23630
C18,805,1,100n,C49678
"C19, C20",805,2,22u,C45783
C24,603,1,2n2,C1604
"D1, D3",603,2,LED,C2286
D2,D_SOD-123,1,b5819w,C8598
F1,603,1,500 mA,C20798
"FB1, FB2",805,2,100R,C1015
L1,L_Sunlord_SWPA4030S,1,3.9uH,C96899
Q1,SOT-23,1,AO3401A,C15127
R1,603,1,10k,C25804
"R2, R3, R5, R6",603,4,2k2,C4190
"R4, R7",603,2,1k,C21190
"S1, S2",SW_TS-1187A-B-A-B,2,TS-1187A-B-A-B,C318884
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
U2,TSOT-23-6,1,AP63203WU,C780769
U3,SOT-23-6,1,USBLC6-2SC6,C7519
U4,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,C24112
U5,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,C726001
U6,SOT-23-5,1,LD39015M18R,C361025
U7,TSSOP-14_4.4x5mm_P0.65mm,1,NTS0104PW,C2802637
U8,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,C83291
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16Mhz,C13738
